,Area Type,Area Name,Year,Month,Date,Series Code,Industry Title,Seasonally Adjusted,Current Employment
34,State,California,2014,January,01/01/2014,43484200,Specialized Freight Trucking,N,38200
35,County,Colusa County,2014,February,02/01/2014,90920000,State Government,N,51
36,County,Glenn County,2014,February,02/01/2014,0,Total Nonfarm,N,6220
37,County,Humboldt County,2014,February,02/01/2014,20000000,Construction,N,1400
38,County,Merced County,2014,February,02/01/2014,0,Total Nonfarm,N,60500
39,County,Monterey County,2014,February,02/01/2014,5000000,Total Private,N,97200
40,County,Napa County,2014,February,02/01/2014,65000000,Educational and Health Services,N,10200
41,County,Nevada County,2014,February,02/01/2014,90930000,Local Government,N,5340
42,County,Orange County,2014,February,02/01/2014,20000000,Construction,N,80100
43,County,San Francisco County,2014,February,02/01/2014,65620000,Health Care and Social Assistance,N,62900
44,County,San Luis Obispo County,2014,February,02/01/2014,8000000,Private Service Providing,N,70500
45,County,Santa Cruz County,2014,February,02/01/2014,41000000,Wholesale Trade,N,3400
46,County,Santa Cruz County,2014,February,02/01/2014,15000000,"Natural Resources, Mining and Constructi",N,3300
47,County,Siskiyou County,2014,February,02/01/2014,90930000,Local Government,N,3010
48,County,Siskiyou County,2014,February,02/01/2014,55000000,Financial Activities,N,320
49,County,Solano County,2014,February,02/01/2014,90922000,State Government Excluding Education,N,4700
50,County,Sonoma County,2014,February,02/01/2014,90940000,State and Local Government,N,30000
51,County,Ventura County,2014,February,02/01/2014,31000000,Durable Goods,N,18400
52,Metropolitan Area,El Centro MSA,2014,February,02/01/2014,43000000,"Transportation, Warehousing and Utilitie",N,2000
53,Metropolitan Area,Modesto MSA,2014,February,02/01/2014,60560000,Administrative and Support and Waste Ser,N,6900
54,Metropolitan Area,Napa MSA,2014,February,02/01/2014,8000000,Private Service Providing,N,41500
55,Metropolitan Area,Oakland-Hayward-Berkeley MD,2014,February,02/01/2014,20000000,Construction,N,55300
56,Metropolitan Area,Oakland-Hayward-Berkeley MD,2014,February,02/01/2014,15000000,"Natural Resources, Mining and Constructi",N,55700
57,Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014,February,02/01/2014,42446000,Health and Personal Care Stores,N,10000
58,Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014,February,02/01/2014,65621100,Offices of Physicians,N,19600
59,Metropolitan Area,San Francisco-Redwood City-South San Francisco MD,2014,February,02/01/2014,60541300,"Architectural, Engineering and Related S",N,12500
60,Metropolitan Area,San Francisco-Redwood City-South San Francisco MD,2014,February,02/01/2014,10000000,Mining and Logging,N,100
61,Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA,2014,February,02/01/2014,31333000,Machinery Manufacturing,N,8800
62,Metropolitan Area,Santa Rosa MSA,2014,February,02/01/2014,50000000,Information,N,2700
63,Metropolitan Area,Stockton-Lodi MSA,2014,February,02/01/2014,90939022,City,N,3100
64,State,California,2014,February,02/01/2014,65621200,Offices of Dentists,N,119400
65,State,California,2014,February,02/01/2014,55532300,General Rental Centers,N,3700
66,State,California,2014,February,02/01/2014,7000000,Service Providing,Y,13448000
67,County,Glenn County,2014,March,03/01/2014,8000000,Private Service Providing,N,3400
68,County,Glenn County,2014,March,03/01/2014,90000000,Government,N,2060
69,County,Los Angeles County,2014,March,03/01/2014,90000000,Government,N,562900
70,County,Sacramento County,2014,March,03/01/2014,60540000,"Professional, Scientific and Technical S",N,38800
71,County,San Diego County,2014,March,03/01/2014,0,Total Nonfarm,N,1331500
72,County,San Joaquin County,2014,March,03/01/2014,90919110,Department of Defense,N,1500
73,County,San Luis Obispo County,2014,March,03/01/2014,60000000,Professional and Business Services,N,9100
74,County,Santa Clara County,2014,March,03/01/2014,60560000,Administrative and Support and Waste Ser,N,56300
75,County,Santa Cruz County,2014,March,03/01/2014,5000000,Total Private,N,72600
76,County,Sutter County,2014,March,03/01/2014,11000000,Total Farm,N,2500
77,County,Ventura County,2014,March,03/01/2014,55524000,Insurance Carriers and Related,N,4400
78,Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014,March,03/01/2014,43220000,Utilities,N,11900
79,Metropolitan Area,Modesto MSA,2014,March,03/01/2014,90931611,Local Government Education,N,15100
80,Metropolitan Area,Oakland-Hayward-Berkeley MD,2014,March,03/01/2014,20236100,Residential Building Construction,N,8500
81,Metropolitan Area,Salinas MSA,2014,March,03/01/2014,70000000,Leisure and Hospitality,N,22100
82,Metropolitan Area,Salinas MSA,2014,March,03/01/2014,10000000,Mining and Logging,N,200
83,Metropolitan Area,San Diego-Carlsbad MSA,2014,March,03/01/2014,60550000,Management of Companies and Enterprises,N,22400
84,Metropolitan Area,San Diego-Carlsbad MSA,2014,March,03/01/2014,42452300,"General Merchandise Stores, including Warehouse Clubs and Supercenters",N,13200
85,Metropolitan Area,San Francisco-Redwood City-South San Francisco MD,2014,March,03/01/2014,65622000,Hospitals,N,15600
86,Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA,2014,March,03/01/2014,20238000,Specialty Trade Contractors,N,26900
87,Metropolitan Area,San Rafael MD,2014,March,03/01/2014,1000000,Total Wage and Salary,N,109400
88,Metropolitan Area,Santa Rosa MSA,2014,March,03/01/2014,90939022,City,N,2400
89,Metropolitan Area,Stockton-Lodi MSA,2014,March,03/01/2014,40000000,"Trade, Transportation and Utilities",N,53400
90,Metropolitan Area,Stockton-Lodi MSA,2014,March,03/01/2014,90931611,Local Government Education,N,18600
91,State,California,2014,March,03/01/2014,31327000,Nonmetallic Mineral Product Mfg.,N,30000
92,County,Humboldt County,2014,April,04/01/2014,90921611,State Government Education,N,2300
93,County,Los Angeles County,2014,April,04/01/2014,32311600,Animal Slaughtering and Processing,N,4700
94,County,Mono County,2014,April,04/01/2014,6000000,Goods Producing,N,290
95,County,Ventura County,2014,April,04/01/2014,70720000,Accommodation and Food Service,N,29600
96,Metropolitan Area,Fresno MSA,2014,April,04/01/2014,90000000,Government,N,67900
97,Metropolitan Area,Fresno MSA,2014,April,04/01/2014,60560000,Administrative and Support and Waste Ser,N,17200
98,Metropolitan Area,Fresno MSA,2014,April,04/01/2014,55524000,Insurance Carriers and Related,N,4300
99,Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014,April,04/01/2014,31336000,Transportation Equipment Manufacturing,N,46600
100,Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014,April,04/01/2014,55531100,Lessors of Real Estate,N,16300
101,Metropolitan Area,Oakland-Hayward-Berkeley MD,2014,April,04/01/2014,43484000,Truck Transportation,N,6700
102,Metropolitan Area,Oakland-Hayward-Berkeley MD,2014,April,04/01/2014,80811000,Repair and Maintenance,N,10700
103,Metropolitan Area,Sacramento--Roseville--Arden-Arcade MSA,2014,April,04/01/2014,20236000,Construction of Buildings,N,9700
104,Metropolitan Area,Sacramento--Roseville--Arden-Arcade MSA,2014,April,04/01/2014,90910000,Federal Government,N,13300
105,Metropolitan Area,Salinas MSA,2014,April,04/01/2014,65000000,Educational and Health Services,N,18000
106,Metropolitan Area,San Diego-Carlsbad MSA,2014,April,04/01/2014,60550000,Management of Companies and Enterprises,N,21300
107,State,California,2014,April,04/01/2014,30000000,Manufacturing,Y,1275100
108,State,California,2014,April,04/01/2014,70712000,"Museums, Historical Sites, and Similar I",N,17300
109,State,California,2014,April,04/01/2014,8000000,Private Service Providing,N,11076800
110,County,Alameda County,2014,May,05/01/2014,11000000,Total Farm,N,500
111,County,Calaveras County,2014,May,05/01/2014,8000000,Private Service Providing,N,4850
112,County,Contra Costa County,2014,May,05/01/2014,65000000,Educational and Health Services,N,61200
113,County,Mendocino County,2014,May,05/01/2014,65000000,Educational and Health Services,N,5640
114,County,Merced County,2014,May,05/01/2014,90921611,State Government Education,N,2300
115,County,Monterey County,2014,May,05/01/2014,11000000,Total Farm,N,61400
116,County,Monterey County,2014,May,05/01/2014,60000000,Professional and Business Services,N,12100
117,County,Orange County,2014,May,05/01/2014,70721000,Accommodation,N,24000
118,County,Placer County,2014,May,05/01/2014,60550000,Management of Companies and Enterprises,N,1500
119,County,Plumas County,2014,May,05/01/2014,90930000,Local Government,N,1990
120,County,San Luis Obispo County,2014,May,05/01/2014,70722000,Food Services and Drinking Places,N,11600
121,Metropolitan Area,Bakersfield MSA,2014,May,05/01/2014,1000000,Total Wage and Salary,N,322400
122,Metropolitan Area,Fresno MSA,2014,May,05/01/2014,90930000,Local Government,N,46100
123,Metropolitan Area,Fresno MSA,2014,May,05/01/2014,90000000,Government,N,68500
124,Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014,May,05/01/2014,41423000,"Merchant Wholesalers, Durable Goods",N,102300
125,Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014,May,05/01/2014,43000000,"Transportation, Warehousing and Utilitie",N,168000
126,Metropolitan Area,Modesto MSA,2014,May,05/01/2014,43000000,"Transportation, Warehousing and Utilitie",N,7200
127,Metropolitan Area,Modesto MSA,2014,May,05/01/2014,31000000,Durable Goods,N,6300
128,Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014,May,05/01/2014,43484100,General Freight Trucking,N,17800
129,Metropolitan Area,San Francisco-Redwood City-South San Francisco MD,2014,May,05/01/2014,65620000,Health Care and Social Assistance,N,99200
130,Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA,2014,May,05/01/2014,42445000,Food and Beverage Stores,N,17300
131,Metropolitan Area,Santa Maria-Santa Barbara MSA,2014,May,05/01/2014,5000000,Total Private,N,139900
132,Metropolitan Area,Stockton-Lodi MSA,2014,May,05/01/2014,5000000,Total Private,N,171500
133,Metropolitan Area,Visalia-Porterville MSA,2014,May,05/01/2014,90000000,Government,N,29900
134,State,California,2014,May,05/01/2014,42452200,Department Stores,N,122100
135,State,California,2014,May,05/01/2014,20238000,Specialty Trade Contractors,N,436400
136,County,Amador County,2014,June,06/01/2014,42000000,Retail Trade,N,1500
137,County,Amador County,2014,June,06/01/2014,90940000,State and Local Government,N,4150
138,County,Colusa County,2014,June,06/01/2014,55000000,Financial Activities,N,140
139,County,El Dorado County,2014,June,06/01/2014,60540000,"Professional, Scientific and Technical S",N,2800
140,County,Fresno County,2014,June,06/01/2014,50000000,Information,N,3800
141,County,Glenn County,2014,June,06/01/2014,90920000,State Government,N,80
142,County,Kern County,2014,June,06/01/2014,65000000,Educational and Health Services,N,32500
143,County,Kern County,2014,June,06/01/2014,70000000,Leisure and Hospitality,N,24100
144,County,Kern County,2014,June,06/01/2014,20000000,Construction,N,18400
145,County,Kings County,2014,June,06/01/2014,11000000,Total Farm,N,6900
146,County,Lassen County,2014,June,06/01/2014,6000000,Goods Producing,N,240
147,County,Los Angeles County,2014,June,06/01/2014,43492000,Couriers and Messengers,N,19600
148,County,Los Angeles County,2014,June,06/01/2014,42454000,Nonstore Retailers,N,11300
149,County,Merced County,2014,June,06/01/2014,43000000,"Transportation, Warehousing and Utilitie",N,2800
150,County,Napa County,2014,June,06/01/2014,90939022,City,N,900
151,County,Plumas County,2014,June,06/01/2014,50000000,Information,N,60
152,County,San Joaquin County,2014,June,06/01/2014,65610000,Educational Services,N,4500
153,County,San Luis Obispo County,2014,June,06/01/2014,15000000,"Natural Resources, Mining and Constructi",N,6300
154,County,Santa Barbara County,2014,June,06/01/2014,55520000,Finance and Insurance,N,3400
155,County,Yuba County,2014,June,06/01/2014,90910000,Federal Government,N,1400
156,Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014,June,06/01/2014,55524100,Insurance Carriers,N,11100
157,Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014,June,06/01/2014,55531100,Lessors of Real Estate,N,16600
158,Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014,June,06/01/2014,32323000,Printing and Related Support Activities,N,14800
159,Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014,June,06/01/2014,20237000,Heavy and Civil Engineering Construction,N,12300
160,Metropolitan Area,Napa MSA,2014,June,06/01/2014,90931611,Local Government Education,N,3900
161,Metropolitan Area,Oakland-Hayward-Berkeley MD,2014,June,06/01/2014,80813000,"Religious, Grantmaking, Civic, Professio",N,16400
162,Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014,June,06/01/2014,43492000,Couriers and Messengers,N,8600
163,Metropolitan Area,Salinas MSA,2014,June,06/01/2014,90939012,County,N,4700
164,Metropolitan Area,San Francisco-Redwood City-South San Francisco MD,2014,June,06/01/2014,42452000,General Merchandise Stores,N,10000
165,Metropolitan Area,San Francisco-Redwood City-South San Francisco MD,2014,June,06/01/2014,31000000,Durable Goods,N,16200
166,Metropolitan Area,Santa Maria-Santa Barbara MSA,2014,June,06/01/2014,90000000,Government,N,39000
167,Metropolitan Area,Stockton-Lodi MSA,2014,June,06/01/2014,90920000,State Government,N,5800
168,Metropolitan Area,Stockton-Lodi MSA,2014,June,06/01/2014,90919110,Department of Defense,N,1500
169,Metropolitan Area,Visalia-Porterville MSA,2014,June,06/01/2014,15000000,"Natural Resources, Mining and Constructi",N,4500
170,State,California,2014,June,06/01/2014,70711100,Performing Arts Companies,N,14200
171,State,California,2014,June,06/01/2014,65624400,Child Day Care Services,N,65700
172,State,California,2014,June,06/01/2014,31339000,Miscellaneous Durable Goods Manufacturing,N,86600
173,State,California,2014,June,06/01/2014,70722511,Full-Service Restaurants,N,612600
174,State,California,2014,June,06/01/2014,65620000,Health Care and Social Assistance,N,2029500
175,County,Colusa County,2014,July,07/01/2014,43000000,"Transportation, Warehousing and Utilitie",N,270
176,County,El Dorado County,2014,July,07/01/2014,31000000,Durable Goods,N,1200
177,County,Fresno County,2014,July,07/01/2014,70722000,Food Services and Drinking Places,N,25100
178,County,Imperial County,2014,July,07/01/2014,30000000,Manufacturing,N,1300
179,County,Madera County,2014,July,07/01/2014,70000000,Leisure and Hospitality,N,3400
180,County,Napa County,2014,July,07/01/2014,32000000,Nondurable Goods,N,10800
181,County,Nevada County,2014,July,07/01/2014,50000000,Information,N,300
182,County,Orange County,2014,July,07/01/2014,90940000,State and Local Government,N,132100
183,County,Orange County,2014,July,07/01/2014,43220000,Utilities,N,3200
184,County,Plumas County,2014,July,07/01/2014,65000000,Educational and Health Services,N,750
185,County,Shasta County,2014,July,07/01/2014,41000000,Wholesale Trade,N,1700
186,County,Stanislaus County,2014,July,07/01/2014,30000000,Manufacturing,N,22700
187,County,Trinity County,2014,July,07/01/2014,0,Total Nonfarm,N,3130
188,County,Yuba County,2014,July,07/01/2014,40000000,"Trade, Transportation and Utilities",N,2100
189,Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014,July,07/01/2014,0,Total Nonfarm,Y,1496300
190,Metropolitan Area,Bakersfield MSA,2014,July,07/01/2014,10000000,Mining and Logging,N,13100
191,Metropolitan Area,El Centro MSA,2014,July,07/01/2014,0,Total Nonfarm,Y,49900
192,Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014,July,07/01/2014,80813000,"Religious, Grantmaking, Civic, Professio",N,59500
193,Metropolitan Area,Modesto MSA,2014,July,07/01/2014,7000000,Service Providing,N,131800
194,Metropolitan Area,Napa MSA,2014,July,07/01/2014,7000000,Service Providing,N,52100
195,Metropolitan Area,Sacramento--Roseville--Arden-Arcade MSA,2014,July,07/01/2014,30000000,Manufacturing,N,35800
196,Metropolitan Area,Sacramento--Roseville--Arden-Arcade MSA,2014,July,07/01/2014,55522200,Nondepository Credit Intermediation,N,2300
197,Metropolitan Area,Sacramento--Roseville--Arden-Arcade MSA,2014,July,07/01/2014,90919110,Department of Defense,N,1700
198,Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA,2014,July,07/01/2014,0,Total Nonfarm,Y,1007500
199,Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA,2014,July,07/01/2014,20238000,Specialty Trade Contractors,N,29300
200,Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA,2014,July,07/01/2014,40000000,"Trade, Transportation and Utilities",N,20500
201,Metropolitan Area,Santa Cruz-Watsonville MSA,2014,July,07/01/2014,70000000,Leisure and Hospitality,N,14300
202,Metropolitan Area,Santa Cruz-Watsonville MSA,2014,July,07/01/2014,70720000,Accommodation and Food Service,N,11700
203,Metropolitan Area,Santa Maria-Santa Barbara MSA,2014,July,07/01/2014,6000000,Goods Producing,N,21300
204,Metropolitan Area,Stockton-Lodi MSA,2014,July,07/01/2014,70710000,"Arts, Entertainment, and Recreation",N,2500
205,Metropolitan Area,Visalia-Porterville MSA,2014,July,07/01/2014,6000000,Goods Producing,N,16800
206,State,California,2014,July,07/01/2014,41423100,Motor Vehicle and Motor Vehicle Parts Me,N,38300
207,State,California,2014,July,07/01/2014,65623000,Nursing and Residential Care Facilities,N,279200
208,County,Colusa County,2014,August,08/01/2014,15000000,"Natural Resources, Mining and Constructi",N,90
209,County,El Dorado County,2014,August,08/01/2014,20000000,Construction,N,3700
210,County,Imperial County,2014,August,08/01/2014,90000000,Government,N,17100
211,County,Inyo County,2014,August,08/01/2014,30000000,Manufacturing,N,260
212,County,Los Angeles County,2014,August,08/01/2014,60541300,"Architectural, Engineering and Related S",N,30500
213,County,Los Angeles County,2014,August,08/01/2014,5000000,Total Private,N,3641600
214,County,Napa County,2014,August,08/01/2014,70722000,Food Services and Drinking Places,N,6900
215,County,Orange County,2014,August,08/01/2014,90922000,State Government Excluding Education,N,10500
216,County,San Benito County,2014,August,08/01/2014,90920000,State Government,N,200
217,County,San Diego County,2014,August,08/01/2014,55524000,Insurance Carriers and Related,N,16600
218,County,Ventura County,2014,August,08/01/2014,20238000,Specialty Trade Contractors,N,9300
219,Metropolitan Area,Bakersfield MSA,2014,August,08/01/2014,43000000,"Transportation, Warehousing and Utilitie",N,10900
220,Metropolitan Area,Bakersfield MSA,2014,August,08/01/2014,40000000,"Trade, Transportation and Utilities",N,50500
221,Metropolitan Area,Fresno MSA,2014,August,08/01/2014,10000000,Mining and Logging,N,300
222,Metropolitan Area,Madera MSA,2014,August,08/01/2014,55000000,Financial Activities,N,800
223,Metropolitan Area,Merced MSA,2014,August,08/01/2014,11000000,Total Farm,N,15500
224,Metropolitan Area,Merced MSA,2014,August,08/01/2014,7000000,Service Providing,N,48700
225,Metropolitan Area,Redding MSA,2014,August,08/01/2014,90930000,Local Government,N,9100
226,Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014,August,08/01/2014,70710000,"Arts, Entertainment, and Recreation",N,16000
227,Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014,August,08/01/2014,50511000,Publishing Industries (except Internet),N,1800
228,Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2014,August,08/01/2014,40000000,"Trade, Transportation and Utilities",N,313900
229,Metropolitan Area,Salinas MSA,2014,August,08/01/2014,10000000,Mining and Logging,N,200
230,Metropolitan Area,San Francisco-Redwood City-South San Francisco MD,2014,August,08/01/2014,65624000,Social Assistance,N,42000
231,Metropolitan Area,San Rafael MD,2014,August,08/01/2014,90920000,State Government,N,1800
232,Metropolitan Area,San Rafael MD,2014,August,08/01/2014,15000000,"Natural Resources, Mining and Constructi",N,6300
233,Metropolitan Area,Santa Rosa MSA,2014,August,08/01/2014,90922000,State Government Excluding Education,N,2700
234,Metropolitan Area,Stockton-Lodi MSA,2014,August,08/01/2014,1000000,Total Wage and Salary,N,231400
235,Metropolitan Area,Visalia-Porterville MSA,2014,August,08/01/2014,70710000,"Arts, Entertainment, and Recreation",N,700
236,State,California,2014,August,08/01/2014,31334413,Semiconductor and Related Devices Manufa,N,50500
237,County,Alpine County,2014,September,09/01/2014,7000000,Service Providing,N,620
238,County,Calaveras County,2014,September,09/01/2014,55000000,Financial Activities,N,210
239,County,Kern County,2014,September,09/01/2014,31000000,Durable Goods,N,5600
240,County,Kings County,2014,September,09/01/2014,90000000,Government,N,14200
241,County,Los Angeles County,2014,September,09/01/2014,43488000,Support Activities for Transportation,N,49200
242,County,Marin County,2014,September,09/01/2014,80000000,Other Services,N,5200
243,County,Mariposa County,2014,September,09/01/2014,11000000,Total Farm,N,21
244,County,Monterey County,2014,September,09/01/2014,65620000,Health Care and Social Assistance,N,16200
245,County,Plumas County,2014,September,09/01/2014,10000000,Mining and Logging,N,41
246,County,Riverside County,2014,September,09/01/2014,30000000,Manufacturing,N,40100
247,County,San Diego County,2014,September,09/01/2014,42451000,"Sporting Goods, Hobby, Book and Music St",N,6700
248,County,San Joaquin County,2014,September,09/01/2014,41000000,Wholesale Trade,N,10600
249,County,Santa Clara County,2014,September,09/01/2014,50000000,Information,N,67100
250,County,Santa Cruz County,2014,September,09/01/2014,30000000,Manufacturing,N,6000
251,County,Trinity County,2014,September,09/01/2014,90930000,Local Government,N,1000
252,County,Ventura County,2014,September,09/01/2014,90922000,State Government Excluding Education,N,1600
253,Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014,September,09/01/2014,90921611,State Government Education,N,17500
254,Metropolitan Area,Fresno MSA,2014,September,09/01/2014,1000000,Total Wage and Salary,N,372300
255,Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014,September,09/01/2014,70000000,Leisure and Hospitality,N,471400
256,Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014,September,09/01/2014,20238200,Building Equipment Contractors,N,35400
257,Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014,September,09/01/2014,55520000,Finance and Insurance,N,133600
258,Metropolitan Area,Oakland-Hayward-Berkeley MD,2014,September,09/01/2014,20236000,Construction of Buildings,N,14200
259,Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014,September,09/01/2014,10000000,Mining and Logging,N,1300
260,Metropolitan Area,Sacramento--Roseville--Arden-Arcade MSA,2014,September,09/01/2014,60561000,Administrative and Support Services,N,53700
261,Metropolitan Area,San Diego-Carlsbad MSA,2014,September,09/01/2014,65621000,Ambulatory Health Care Services,N,67700
262,Metropolitan Area,San Diego-Carlsbad MSA,2014,September,09/01/2014,90939022,City,N,18100
263,Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA,2014,September,09/01/2014,41423000,"Merchant Wholesalers, Durable Goods",N,26500
264,Metropolitan Area,San Rafael MD,2014,September,09/01/2014,15000000,"Natural Resources, Mining and Constructi",N,6400
265,Metropolitan Area,Santa Rosa MSA,2014,September,09/01/2014,42000000,Retail Trade,N,24100
266,Metropolitan Area,Visalia-Porterville MSA,2014,September,09/01/2014,70720000,Accommodation and Food Service,N,10000
267,Metropolitan Area,Visalia-Porterville MSA,2014,September,09/01/2014,42452000,General Merchandise Stores,N,3900
268,State,California,2014,September,09/01/2014,50512100,Motion Picture & Video Industries,N,142600
269,State,California,2014,September,09/01/2014,32325000,Chemical Manufacturing,N,73800
270,State,California,2014,September,09/01/2014,70711000,"Performing Arts, Spectator Sports",N,70200
271,County,Kern County,2014,October,10/01/2014,90921611,State Government Education,N,1400
272,County,Los Angeles County,2014,October,10/01/2014,32315000,Apparel Manufacturing,N,43400
273,County,Los Angeles County,2014,October,10/01/2014,90932994,Special Districts plus Indian Tribes,N,22200
274,County,Los Angeles County,2014,October,10/01/2014,65611300,"Colleges, Universities and Professional",N,68300
275,County,Mendocino County,2014,October,10/01/2014,70000000,Leisure and Hospitality,N,4210
276,County,Monterey County,2014,October,10/01/2014,90939022,City,N,2100
277,County,San Benito County,2014,October,10/01/2014,55000000,Financial Activities,N,400
278,County,San Diego County,2014,October,10/01/2014,90932000,Local Government Excluding Education,N,65900
279,County,San Diego County,2014,October,10/01/2014,65611300,"Colleges, Universities and Professional",N,14400
280,County,San Francisco County,2014,October,10/01/2014,90920000,State Government,N,32900
281,County,San Francisco County,2014,October,10/01/2014,41000000,Wholesale Trade,N,14200
282,County,San Francisco County,2014,October,10/01/2014,31000000,Durable Goods,N,4800
283,County,San Francisco County,2014,October,10/01/2014,6000000,Goods Producing,N,27600
284,County,Santa Barbara County,2014,October,10/01/2014,60560000,Administrative and Support and Waste Ser,N,11200
285,County,Santa Cruz County,2014,October,10/01/2014,70720000,Accommodation and Food Service,N,11000
286,County,Solano County,2014,October,10/01/2014,32000000,Nondurable Goods,N,7400
287,County,Sonoma County,2014,October,10/01/2014,42445000,Food and Beverage Stores,N,7600
288,County,Stanislaus County,2014,October,10/01/2014,90940000,State and Local Government,N,26200
289,County,Tulare County,2014,October,10/01/2014,55520000,Finance and Insurance,N,2700
290,Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014,October,10/01/2014,65623000,Nursing and Residential Care Facilities,N,24300
291,Metropolitan Area,Bakersfield MSA,2014,October,10/01/2014,90922000,State Government Excluding Education,N,7900
292,Metropolitan Area,Chico MSA,2014,October,10/01/2014,1000000,Total Wage and Salary,N,81400
